SSIMO ID,Label,Synonyms,logical type,Parent class,IRI Output or Query
ID,A: rdfs:label,A alternative term,CLASS_TYPE,C % SPLIT=|,A is allocated id range
OBINCBI:00000000120,metadata label,,,metadata,
OBINCBI:00000000121,dc,dc prefix,subclass,metadata label,http://purl.org/dc/elements/1.1/ 
OBINCBI:00000000122,owl,owl prefix,subclass,metadata label,http://www.w3.org/2002/07/owl# 
OBINCBI:00000000123,rdf,rdf prefix,subclass,metadata label,http://www.w3.org/1999/02/22-rdf-syntax-ns# 
OBINCBI:00000000124,rdfs,rdfs prefix,subclass,metadata label,http://www.w3.org/2000/01/rdf-schema# 
OBINCBI:00000000125,skos,skox prefix,subclass,metadata label,http://www.w3.org/2004/02/skos/core# 
OBINCBI:00000000126,void,void prefix,subclass,metadata label,http://rdfs.org/ns/void# 
OBINCBI:00000000127,xml,xml prefix,subclass,metadata label,http://www.w3.org/XML/1998/namespace 
OBINCBI:00000000128,xsd,xsd prefix,subclass,metadata label,http://www.w3.org/2001/XMLSchema# 
OBINCBI:00000000150,EVS Thesaurus RDF Graph Name,,subclass,Preferred Name,http://cbiit.nci.nih.gov/caDSR 
OBINCBI:00000000151,EVS Thesaurus OWL Graph Name,,subclass,Preferred Name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesarus.owl 
OBINCBI:00000000152,caDSR Graph Name,,subclass,Preferred Name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesarus.rdf 
OBINCBI:00000000153,caDSR Namespace,,subclass,Preferred Name,http://cbiit.nci.nih.gov/caDSR# 
OBINCBI:00000000154,ISO 11179 Namespace,,subclass,Preferred Name,http://www.iso.org/11179/MDR# 
OBINCBI:00000000155,MADS/RDF Namespace,,subclass,Preferred Name,http://www.loc.gov/mads/rdf/v1# 
OBINCBI:00000000156,NCI Thesaurus Namespace,NCIT Namespace,subclass,Preferred Name,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl# 
OBINCBI:00000000157,NCI Metathesaurus Namespace,NCIMT Namespace,subclass,Preferred Name,http://ncim.nci.nih.gov/NCIMetathesaurus.owl# 
OBINCBI:00000000158,MGED Ontology Namespace,,subclass,Preferred Name,http://mged.org/MGEDOntology# 
OBINCBI:00000000159,NDF-RT Namespace,,subclass,Preferred Name,http://evs.nci.nih.gov/ftp1/NDF-RT/NDF-RT.owl# 
OBINCBI:00000000160,CTCAE v5 Namespace,,subclass,Preferred Name,http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae5.owl# 
OBINCBI:00000000161,LOINC Namespace,,subclass,Preferred Name,https://loinc.org/code# 
OBINCBI:00000000162,SNOMED Namespace,,subclass,Preferred Name,http://snomed.info/id# 
OBINCBI:00000000163,RadLex Namespace,,subclass,Preferred Name,http://radlex.org/RID/ 
OBINCBI:00000000164,caBIG Namespace,,subclass,Preferred Name,http://ncicb.nci.nih.gov/cabig# 
OBINCBI:00000000165,MedDRA Namespace,,subclass,Preferred Name,https://identifiers.org/meddra# 
OBINCBI:00000000166,Gene Ontology Namespace,GO Namespace,subclass,Preferred Name,http://purl.org/obo/owl/GO# 
